,code,model,version,sequentially,train_rmse,train_mae,train_acc,train_ms_rmse,train_ms_mae,train_ms_acc,test_rmse,test_mae,test_acc,likely_rmse,likely_mae,likely_acc,likely_range
79,MultiCNN_seq_true_ver_8,MultiCNN,8,True,9.53,6.56,1.0099999904632568,9.73,6.99,1.090000033378601,13.32,10.42,1.04,12.16,9.35,1.23,365
80,MultiCNN_seq_true_ver_9,MultiCNN,9,True,12.63,9.5,1.0399999618530273,20.6,16.25,1.3200000524520874,16.01,11.94,0.8100000023841858,20.39,16.85,1.3899999856948853,365
81,MultiCNN_seq_true_ver_10,MultiCNN,10,True,10.06,7.04,0.99,18.59,13.43,1.2000000476837158,19.62,14.92,0.8899999856948853,16.09,11.62,1.2699999809265137,365
82,MultiCNN_seq_true_ver_11,MultiCNN,11,True,11.82,7.99,0.9900000095367432,15.45,10.91,1.06,11.34,9.13,0.95,19.85,14.85,1.01,365
83,MultiCNN_seq_true_ver_12,MultiCNN,12,True,12.22,7.82,1.0,11.53,7.61,1.03,12.59,9.67,0.9399999976158142,8.59,6.06,1.0700000524520874,365
84,MLP_seq_true_ver_1,MLP,1,True,0.97,0.72,0.98,24.43,16.83,1.5499999523162842,22.85,16.59,0.550000011920929,21.29,16.56,1.5499999523162842,365
85,MLP_seq_true_ver_2,MLP,2,True,0.93,0.71,1.01,19.3,12.96,1.2300000190734863,11.58,8.42,0.9200000166893005,23.27,18.5,1.6399999856948853,365
86,MLP_seq_true_ver_3,MLP,3,True,1.48,1.19,1.0299999713897705,13.24,9.65,1.190000057220459,16.32,11.68,1.2300000190734863,6.66,4.23,0.9900000095367432,365
87,MLP_seq_true_ver_4,MLP,4,True,1.77,1.36,1.0099999904632568,12.42,8.97,1.1799999475479126,14.74,11.49,0.800000011920929,16.04,13.58,1.4199999570846558,365
88,MLP_seq_true_ver_5,MLP,5,True,9.58,6.7,0.97,25.37,19.42,0.0,13.5,11.28,1.1399999856948853,23.97,19.56,1.6299999952316284,365
89,MLP_seq_true_ver_6,MLP,6,True,11.31,7.63,0.9900000095367432,18.37,13.59,1.2300000190734863,12.18,9.93,0.8899999856948853,23.83,20.08,1.440000057220459,365
90,MLP_seq_true_ver_7,MLP,7,True,1.55,1.18,1.02,3.21,2.29,1.0099999904632568,17.11,12.36,1.2699999809265137,6.97,4.75,1.0499999523162842,365
91,MLP_seq_true_ver_8,MLP,8,True,9.75,6.72,0.9800000190734863,9.37,6.46,0.9700000286102295,11.41,8.08,1.0,7.32,5.25,1.100000023841858,365
92,MLP_seq_true_ver_9,MLP,9,True,11.94,7.96,0.9900000095367432,25.26,20.73,1.6299999952316284,10.82,8.33,1.0099999904632568,22.48,17.78,1.6399999856948853,365
93,MLP_seq_true_ver_10,MLP,10,True,9.66,6.67,0.95,20.37,15.56,1.1399999856948853,11.33,8.45,1.0,23.77,16.7,1.559999942779541,365
94,MLP_seq_true_ver_11,MLP,11,True,12.17,8.38,1.0099999904632568,11.22,7.72,0.9800000190734863,14.15,10.76,1.2200000286102295,6.82,4.83,1.0,365
95,MLP_seq_true_ver_12,MLP,12,True,13.14,8.51,1.0,12.74,8.23,0.9800000190734863,12.24,9.16,1.1299999952316284,7.43,5.41,1.1100000143051147,365
96,AutoencoderMLP_seq_true_ver_1,AutoencoderMLP,1,True,1.01,0.7,0.9900000095367432,12.66,7.78,1.14,18.87,14.21,0.6600000262260437,22.67,18.14,1.4900000095367432,365
97,AutoencoderMLP_seq_true_ver_2,AutoencoderMLP,2,True,0.96,0.73,1.01,13.01,7.38,1.0700000524520874,17.43,13.21,0.7200000286102295,26.09,20.96,1.190000057220459,365
98,AutoencoderMLP_seq_true_ver_3,AutoencoderMLP,3,True,1.51,1.1,1.0199999809265137,3.67,2.47,1.0399999618530273,14.55,11.74,1.2899999618530273,7.7,5.7,1.2000000476837158,365
99,AutoencoderMLP_seq_true_ver_4,AutoencoderMLP,4,True,2.07,1.49,1.0299999713897705,7.66,5.2,1.0399999618530273,11.75,9.29,1.1200000047683716,9.95,7.25,1.1100000143051147,365
100,AutoencoderMLP_seq_true_ver_5,AutoencoderMLP,5,True,9.63,7.0,1.1100000143051147,23.39,17.95,1.5299999713897705,34.87,29.65,0.75,22.96,16.1,0.8700000047683716,365
101,AutoencoderMLP_seq_true_ver_6,AutoencoderMLP,6,True,11.46,7.75,1.01,11.41,7.73,1.0099999904632568,14.29,10.64,0.8299999833106995,27.84,22.51,1.2699999809265137,365
102,AutoencoderMLP_seq_true_ver_7,AutoencoderMLP,7,True,1.31,0.88,1.0,1.6,1.05,1.0,12.48,9.8,1.159999966621399,4.74,3.5,0.9900000095367432,365
103,AutoencoderMLP_seq_true_ver_8,AutoencoderMLP,8,True,9.66,6.66,0.9800000190734863,9.42,6.51,0.9800000190734863,11.04,8.55,1.159999966621399,6.91,4.86,1.0299999713897705,365
104,AutoencoderMLP_seq_true_ver_9,AutoencoderMLP,9,True,11.85,7.92,1.0099999904632568,24.28,17.66,1.4600000381469727,20.28,16.78,1.2599999904632568,26.17,21.36,1.4500000476837158,365
