,code,model,version,sequentially,train_rmse,train_mae,train_acc,train_ms_rmse,train_ms_mae,train_ms_acc,test_rmse_60,test_mae_60,test_acc_60,test_rmse_30,test_mae_30,test_acc_30,test_rmse_7,test_mae_7,test_acc_7,n_parameters
50,CNN_seq_true_ver_7,CNN,7,True,1.87,1.27,1.01,14.33,9.87,1.12,10.7,7.81,0.98,14.37,11.65,0.83,20.11,19.34,0.67,3170515
51,CNN_seq_true_ver_8,CNN,8,True,9.76,6.9,1.04,9.82,6.98,1.04,14.51,11.09,0.76,20.52,16.91,0.66,26.94,26.22,0.55,4770515
52,CNN_seq_true_ver_9,CNN,9,True,12.0,7.98,0.98,17.52,13.32,1.18,18.19,14.12,0.84,21.65,18.44,0.59,20.49,18.34,0.69,932519
53,CNN_seq_true_ver_10,CNN,10,True,10.6,7.57,1.05,23.16,18.79,1.51,14.92,12.52,1.12,15.0,12.07,0.85,16.36,14.09,0.77,1572519
54,CNN_seq_true_ver_11,CNN,11,True,12.39,8.51,1.01,16.29,12.18,1.06,12.54,10.32,1.15,13.34,10.03,0.97,14.17,13.11,0.78,3172519
55,CNN_seq_true_ver_12,CNN,12,True,13.53,9.05,1.12,14.41,9.93,1.04,12.49,9.57,0.91,16.51,13.18,0.78,21.55,20.1,0.66,4772519
56,MultiCNN_seq_true_ver_1,MultiCNN,1,True,8.63,5.76,0.92,16.73,11.76,0.82,23.0,16.79,0.54,31.46,28.15,0.38,33.44,29.82,0.49,89689
57,MultiCNN_seq_true_ver_2,MultiCNN,2,True,6.08,3.72,0.93,22.75,18.11,0.98,14.16,10.16,0.92,19.71,15.72,0.69,30.41,27.6,0.53,169689
58,MultiCNN_seq_true_ver_3,MultiCNN,3,True,3.05,2.29,0.97,5.7,4.01,0.96,11.21,8.64,0.99,14.13,10.67,0.85,20.53,19.1,0.67,369689
59,MultiCNN_seq_true_ver_4,MultiCNN,4,True,2.6,1.86,0.96,2.58,1.92,0.99,11.93,9.95,1.04,13.43,11.05,0.96,19.74,17.84,0.69,569689
